Id,pictures,Candidate,Quote,Key
11,...,Trump,"My whole life is about winning. I don't lose often. I almost never lose.","life,win,lose,vote"
15,NULL,Trump,"I think the big problem this country has is being politically correct. I've been challenged by so many people, and I don't frankly have time for total political correctness. And to be honest with you, this country doesn't have time either.","politically correct,biggest problem"
18,NULL,Trump,"Crooked Hillary Clinton was the worst Secretary of State in the history of the country. The world came apart under her reign as Secretary of State.","Hillary,Clinton,Secretary,teeth,crooked,vote"
19,NULL,Trump,"When somebody challenges you, fight back. Be brutal, be tough.","hurt,losing,lose,power through"
23,NULL,Trump,"I actually don't have a bad hairline.","hair,line,bad hair,bad,rumors, hairline"
26,NULL,Trump,"I have an attention span that's as long as it has to be.","focus,attention,span,long,squirrel
"
29,...,Trump,"Do you mind if I sit back a little? Because your breath is very bad.","rude,stop,breath,bad"
32,NULL,Trump,"I feel a lot of people listen to what I have to say.","important,arrogant,self centered,vote"
36,NULL,Trump,"Sometimes by losing a battle you find a new way to win the war.","debate,lose,losing,war,"
62,NULL,Trump,"If people can just pour into the country illegally, you don't have a country.","illegal,alien,country,"
64,NULL,Trump,"It's always good to be underestimated.","suck,terrible,horrible,underestimated,"
72,...,Trump,"Owning a great golf course gives you great power.","golf,sport,power,gives,vote"
73,NULL,Trump,"I do have my ducks in line if I want to do it, but I'd love to see the Republicans pick somebody that was going to win and take over this country and frankly, to use the expression, 'Make America great again.'","pets,pet,ducks,Make America great again"
82,NULL,Trump,"Obama does not like the issue of where he was born.","Obama,Hawaii,immigrant,issue,born"
88,...,Trump,"I have a great relationship with the Mexican people.","Mexican,relationship,foreign,affairs,racisim"
94,NULL,Trump,"A certificate of live birth is not the same thing by any stretch of the imagination as a birth certificate.","birth certificate,birth,Obama"
107,NULL,Trump,"I have women working in high positions. I was one of the first people to put women in charge of big construction jobs. And, you know, I've had a great relationship with women.","sexist,women,woman,relationships"
123,NULL,Trump,"I understand the military. I know the military.","military,fight,pick,"
129,...,Trump,"People assume I'm a boiler ready to explode, but I actually have very low blood pressure, which is shocking to people.","boiler,hot,temper,blood pressure,red,shock"
153,NULL,Trump,"No, I apologize when I'm wrong.","apologize,wrong,women,men,rude"
161,NULL,Trump,"I was a great student. I was good at everything.","study,bad,nothing,great,young"
185,NULL,Trump,"I've always said, 'If you need Viagra, you're probably with the wrong girl.'","turn on,pretty,sexist,Viagra,girl,sex,choose,"
198,NULL,Trump,"I've been making deals all my life.","drugs,deal,deals,dealer,making deals,"
215,NULL,Trump,"Hillary Clinton may be the most corrupt person ever to seek the presidency.","corrupt,Hillary,Clinton,Hillary Clinton,crook"
219,NULL,Trump,"I have made really some significant deals because I play golf.","gold,sports,reason for success,deals,drugs"
242,NULL,Trump,"The U.S. has become a dumping ground for everybody else's problems.","Mexico,China,Mexican,dumpster,ground"
244,NULL,Trump,"The way I run my business seems to be easier than the way I run my life.","easy,business,runs,run,life"
246,NULL,Trump,"Together, we will lead our party back to the White House, and we will lead our country back to safety, prosperity, and peace.","White House,party,together"
247,NULL,Trump,"law and order.","law,order,function,success,prosperity,TV,tv"
248,NULL,Trump,"We will make America strong again. We will make America proud again. We will make America safe again. And we will make America great again.","America,America,America,again"
251,NULL,Trump,"You don't get a standing ovation and get boos, by the way. They don't go hand in hand.","applause,boos"
252,NULL,Trump,"At the Super Bowl, when Beyonce was thrusting her hips forward in a very suggestive manner, if someone else had done that, it would've been a national scandal.","Women,Beyonce,Singer"
258,...,Trump,"I do respect them; I have great respect for women. In fact, one of the reasons 'The Apprentice' was such a successful show for so many years, the audience of women was fantastic.","women,respect,audience,"
262,...,Trump,"I have the right temperament. ","temperment,describe,too much"
271,NULL,Trump,"There can be no prosperity without law and order.","order,law,prosperity"
277,...,Trump,"Sometimes I like orange juice","orange,skin,juice"
278,NULL,Hillary,"People can judge me for what I've done. And I think when somebody's out in the public eye, that's what they do. So I'm fully comfortable with who I am, what I stand for, and what I've always stood for.",
279,NULL,Hillary,"If a country doesn't recognize minority rights and human rights, including women's rights, you will not have the kind of stability and prosperity that is possible.",
280,NULL,Hillary,"Let's continue to stand up for those who are vulnerable to being left out or marginalized.",
281,NULL,Hillary,"I believe that the rights of women and girls is the unfinished business of the 21st century.",
282,NULL,Hillary,"Forgiveness is a way of opening up the doors again and moving forward, whether it's a personal life or a national life.",
283,NULL,Hillary,"If I want to knock a story off the front page, I just change my hairstyle.",
284,NULL,Hillary,"We need more good jobs that reward hard work with rising wages, dignity, and a ladder to a better life.",
285,NULL,Hillary,"In almost every profession - whether it's law or journalism, finance or medicine or academia or running a small business - people rely on confidential communications to do their jobs. We count on the space of trust that confidentiality provides. When someone breaches that trust, we are all worse off for it.",
286,NULL,Hillary,"There is no formula that I'm aware of for being a successful or fulfilled woman today.",
287,NULL,Hillary,"Dignity does not come from avenging insults, especially from violence that can never be justified. It comes from taking responsibility and advancing our common humanity.",
288,NULL,Hillary,"What we have to do... is to find a way to celebrate our diversity and debate our differences without fracturing our communities.",
289,NULL,Hillary,"As I speak to you today, government censors somewhere are working furiously to erase my words from the records of history. But history itself has already condemned these tactics.",
290,NULL,Hillary,"You don't walk away if you love someone. You help the person.",
291,NULL,Hillary,"We're always going to argue about abortion. It's a hard choice and it's controversial, and that's why I'm pro-choice, because I want people to make their own choices.",
292,NULL,Hillary,"There's a difference between fair game and playing games.",
293,NULL,Hillary,"I think the world would be a lot better off if more people were to define themselves in terms of their own standards and values and not what other people said or thought about them.",
294,NULL,Hillary,"I mean, honestly, we have to be clear that the life for many Afghan women is not that much different than it was a hundred years ago, 200 years ago. The country has lived with so much violence and conflict that many people, men and women, just want it to be over.",
295,NULL,Hillary,"If you're not comfortable with public speaking - and nobody starts out comfortable; you have to learn how to be comfortable - practice. I cannot overstate the importance of practicing. Get some close friends or family members to help evaluate you, or somebody at work that you trust.",
296,NULL,Hillary,"I suppose I could have stayed home and baked cookies and had teas.",
297,NULL,Hillary,"It is often when night looks darkest, it is often before the fever breaks that one senses the gathering momentum for change, when one feels that resurrection of hope in the midst of despair and apathy.",
298,NULL,Hillary,"I feel very blessed to have a partner in life who supports me, who is enthusiastic about what I want to do, who has been a great father, and who will be a fabulous grandfather.",
299,NULL,Hillary,"When does life start? When does it end? Who makes these decisions?... Every day, in hospitals and homes and hospices... people are struggling with those profound issues.",
300,NULL,Hillary,"Extremism thrives amid ignorance and anger, intimidation and cowardice.",
301,NULL,Hillary,"My two secrets to staying healthy: wash your hands all the time. And, if you can't, use Purell or one of the sanitizers. And the other is hot peppers. I eat a lot of hot peppers. I for some reason started doing that in 1992, and I swear by it.",
302,NULL,Hillary,"You cannot have maternal health without reproductive health. And reproductive health includes contraception and family planning and access to legal, safe abortion.",
303,NULL,Hillary,"I like live audiences, with real people - virtual reality is no substitute.",
304,NULL,Hillary,"People can judge me for what I've done. And I think when somebody's out in the public eye, that's what they do. So I'm fully comfortable with who I am, what I stand for, and what I've always stood for.",
305,NULL,Hillary,"If a country doesn't recognize minority rights and human rights, including women's rights, you will not have the kind of stability and prosperity that is possible.",
306,NULL,Hillary,"Let's continue to stand up for those who are vulnerable to being left out or marginalized.",
307,NULL,Hillary,"I believe that the rights of women and girls is the unfinished business of the 21st century.",
555,NULL,,"I know words. I have the best words","president,best,great,power,language"
309,NULL,Hillary,"If I want to knock a story off the front page, I just change my hairstyle.",
310,NULL,Hillary,"We need more good jobs that reward hard work with rising wages, dignity, and a ladder to a better life.",
311,NULL,Hillary,"In almost every profession - whether it's law or journalism, finance or medicine or academia or running a small business - people rely on confidential communications to do their jobs. We count on the space of trust that confidentiality provides. When someone breaches that trust, we are all worse off for it.",
312,NULL,Hillary,"There is no formula that I'm aware of for being a successful or fulfilled woman today.",
313,NULL,Hillary,"Dignity does not come from avenging insults, especially from violence that can never be justified. It comes from taking responsibility and advancing our common humanity.",
314,NULL,Hillary,"What we have to do... is to find a way to celebrate our diversity and debate our differences without fracturing our communities.",
315,NULL,Hillary,"As I speak to you today, government censors somewhere are working furiously to erase my words from the records of history. But history itself has already condemned these tactics.",
316,NULL,Hillary,"You don't walk away if you love someone. You help the person.",
317,NULL,Hillary,"We're always going to argue about abortion. It's a hard choice and it's controversial, and that's why I'm pro-choice, because I want people to make their own choices.",
318,NULL,Hillary,"There's a difference between fair game and playing games.",
319,NULL,Hillary,"I think the world would be a lot better off if more people were to define themselves in terms of their own standards and values and not what other people said or thought about them.",
320,NULL,Hillary,"I mean, honestly, we have to be clear that the life for many Afghan women is not that much different than it was a hundred years ago, 200 years ago. The country has lived with so much violence and conflict that many people, men and women, just want it to be over.",
321,NULL,Hillary,"If you're not comfortable with public speaking - and nobody starts out comfortable; you have to learn how to be comfortable - practice. I cannot overstate the importance of practicing. Get some close friends or family members to help evaluate you, or somebody at work that you trust.",
322,NULL,Hillary,"I suppose I could have stayed home and baked cookies and had teas.",
323,NULL,Hillary,"It is often when night looks darkest, it is often before the fever breaks that one senses the gathering momentum for change, when one feels that resurrection of hope in the midst of despair and apathy.",
324,NULL,Hillary,"I feel very blessed to have a partner in life who supports me, who is enthusiastic about what I want to do, who has been a great father, and who will be a fabulous grandfather.",
325,NULL,Hillary,"When does life start? When does it end? Who makes these decisions?... Every day, in hospitals and homes and hospices... people are struggling with those profound issues.",
327,NULL,Hillary,"My two secrets to staying healthy: wash your hands all the time. And, if you can't, use Purell or one of the sanitizers. And the other is hot peppers. I eat a lot of hot peppers. I for some reason started doing that in 1992, and I swear by it.",
328,NULL,Hillary,"You cannot have maternal health without reproductive health. And reproductive health includes contraception and family planning and access to legal, safe abortion.",
329,NULL,Hillary,"I like live audiences, with real people - virtual reality is no substitute.",
330,NULL,Hillary,"Women are the largest untapped reservoir of talent in the world.",
331,NULL,Hillary,"You know, I think of the global economy as an inverted triangle, resting on the shoulders of the American consumer. And if the American consumer cannot have enough disposable income in order to maintain a standard of living that creates more opportunities generation after generation, that's bad for everybody.",
332,NULL,Hillary,"I will not comment on or confirm what are alleged to be stolen State Department cables. But I can say that the United States deeply regrets the disclosure of any information that was intended to be confidential, including private discussions between counterparts or our diplomats' personal assessments and observations.",
333,NULL,Hillary,"I will read anything by Laura Hillenbrand, Walter Isaacson, Barbara Kingsolver, John le Carre, John Grisham, Hilary Mantel, Toni Morrison, Anna Quindlen and Alice Walker.",
334,NULL,Hillary,"It's impossible to know what happens in the fog of war.",
335,NULL,Hillary,"Voting is the most precious right of every citizen, and we have a moral obligation to ensure the integrity of our voting process.",
336,NULL,Hillary,"Let's not leave an educational vacuum to be filled by religious extremists who go to families who have no other option and offer meals, housing and some form of education. If we are going to combat extremism then we must educate those very same children.",
337,NULL,Hillary,"No matter what you think about the Iraq war, there is one thing we can all agree on for the next days - we have to salute the courage and bravery of those who are risking their lives to vote and those brave Iraqi and American soldiers fighting to protect their right to vote.",
338,NULL,Hillary,"There's a certain consistency to who I am and what I do, and I think people have finally said, 'Well, you know, I kinda get her now.' I've actually had people say that to me.",
339,NULL,Hillary,"The worst thing that can happen in a democracy - as well as in an individual's life - is to become cynical about the future and lose hope.",
340,NULL,Hillary,"You know, everybody has setbacks in their life, and everybody falls short of whatever goals they might set for themselves. That's part of living and coming to terms with who you are as a person.",
341,NULL,Hillary,"In the Bible it says they asked Jesus how many times you should forgive, and he said 70 times 7. Well, I want you all to know that I'm keeping a chart.",
